Date,Consumption value
01/1/2012,1072
01/2/2012,1156
01/3/2012,1249
01/4/2012,412
01/5/2012,527
01/6/2012,538
01/7/2012,1297
01/8/2012,1325
01/9/2012,1428
01/10/2012,2174
01/11/2012,2091
01/12/2012,1989
01/1/2013,1194
01/2/2013,1245
01/3/2013,1137
01/4/2013,198
01/5/2013,356
01/6/2013,343
01/7/2013,1526
01/8/2013,1225
01/9/2013,1464
01/10/2013,2018
01/11/2013,2185
01/12/2013,2047
01/1/2014,1097
01/2/2014,1178
01/3/2014,1143
01/4/2014,278
01/5/2014,242
01/6/2014,417
01/7/2014,1354
01/8/2014,1423
01/9/2014,1554
01/10/2014,2139
01/11/2014,2091
01/12/2014,1946
01/1/2015,1218
01/2/2015,1129
01/3/2015,1327
01/4/2015,287
01/5/2015,337
01/6/2015,343
01/7/2015,1371
01/8/2015,1434
01/9/2015,1612
01/10/2015,1926
01/11/2015,2105
01/12/2015,2089
