Date ,Consumption value 
30/1/2012,2296
30/2/2012,2930
30/3/2012,2828
30/4/2012,3811
30/5/2012,3338
30/6/2012,3060
30/7/2012,3503
30/8/2012,3147
30/9/ 2012,2802
30/10/ 2012,3668
30/11/ 2012,2031
30/12/ 2012,2522
30/1/ 2013,3464
30/2/ 2013,3334
30/3/ 2013,3309
30/4/2013,3813
30/5/2013,2175
30/6/ 2013,3965
30/7/2013,2490
30/8/2013,3265
30/9/2013,2002
30/10/ 2013,2728
30/11/2013,3835
30/12/2013,3839
30/1/ 2014,2823
30/2/ 2014,2007
30/3/ 2014,2439
30/4/ 2014,3883
30/5/ 2014,3116
30/6/2014,3249
30/7/2014,3404
30/8/2014,2917
30/9/ 2014,2601
30/10/ 2014,3131
30/11/2014,3674
30/12/2014,2448
30/1/ 2015,3148
30/2/2015,2973
30/3/ 2015,3701
30/4/ 2015,2714
30/5/2015,3284
30/6/2015,2908
30/7/2015,2120
30/8/2015,2855
30/9/ 2015,3262
30/10/2015,2889
30/11/2015,2209
30/12/2015,2589
